Identifier,StructureData,,Polymer EntityData,,
Entity ID,PDB ID,Resolution (Å),Auth Asym ID,Accession Code(s),
"1AAP_1","1AAP","1.5","A","P05067"
,,,"B"
"1BUN_2","1BUN","2.45","B","P00989"
"1DTX_1","1DTX","2.2","A","P00980"
"1KTH_1","1KTH","0.95","A","P12111"
"1ZR0_2","1ZR0","1.802","B","P48307"
,,,"D"
"3BYB_1","3BYB","1.63","B","Q90WA1"
,,,"A"
,,,"C"
"4NTW_2","4NTW","2.07","B","G9I929"
"4U32_1","4U32","1.65","X","O43291"
"5M4V_1","5M4V","1.06","A","A0A1Z0YU59"
"1FAK_4","1FAK","2.1","I","P00974"
"1G6X_1","1G6X","0.86","A","P00974"
"1T7C_2","1T7C","1.85","B","P00974"
,,,"D"
"1YC0_2","1YC0","2.6","I","O43278"
"2ZJX_1","2ZJX","1.09","B","P00974"
,,,"A"
"3M7Q_2","3M7Q","1.7","B","P31713"
"3WNY_1","3WNY","1.3","A","P00974"
,,,"C"
,,,"H"
,,,"E"
,,,"G"
,,,"B"
,,,"F"
,,,"I"
"4DTG_3","4DTG","1.8","K","P10646"
"4ISO_2","4ISO","2.01","B","O43278"
"4U30_2","4U30","2.5","X","P02760"
,,,"W"
,,,"Y"
,,,"Z"
"5NX1_3","5NX1","1.853","D","P05067"
"5YV7_1","5YV7","2.395","A","P81658"
"6Q61_1","6Q61","1.3","A","P0C1X2"
"6YHY_1","6YHY","1.55","A","P0C1X2"
,,,"B"
"1D0D_1","1D0D","1.62","A","P17726"
"2UUY_2","2UUY","1.15","B","Q1EG59"
"2W8X_1","2W8X","1.6","A"
,,,"B"
"3AUB_1","3AUB","1","B"
,,,"A"
"3AUD_1","3AUD","1.943","A"
,,,"B"
,,,"C"
"3AUE_1","3AUE","2.28","C"
,,,"D"
,,,"E"
,,,"F"
,,,"G"
,,,"A"
,,,"B"
,,,"H"
"3AUG_1","3AUG","1.398","A"
,,,"C"
"3AUH_1","3AUH","1.2","A"
,,,"C"
,,,"E"
,,,"G"
"3AUI_1","3AUI","1.851","A"
,,,"B"
